AntibodyGroup	TargetFiles	Replicate	IgGFile
CAD-DEVD	CAD-DEVD-24	1	IgG-DEVD
CAD-DEVD	CAD-DEVD-Growth	1	IgG-DEVD
CAD-DMSO	CAD-DMSO-24	1	IgG-DMSO
CAD-DMSO	CAD-DMSO-Growth	1	IgG-DMSO
Ezh1-DEVD	Ezh1-DEVD-24	1	IgG-DEVD
Ezh1-DEVD	Ezh1-DEVD-Growth	1	IgG-DEVD
Ezh1-DMSO	Ezh1-DMSO-24	1	IgG-DMSO
Ezh1-DMSO	Ezh1-DMSO-Growth	1	IgG-DMSO
Ezh2-DEVD	Ezh2-DEVD-24	1	IgG-DEVD
Ezh2-DEVD	Ezh2-DEVD-Growth	1	IgG-DEVD
Ezh2-DMSO	Ezh2-DMSO-24	1	IgG-DMSO
Ezh2-DMSO	Ezh2-DMSO-Growth	1	IgG-DMSO
H3k27me3-DEVD	H3k27me3-DEVD-24	1	IgG-DEVD
H3k27me3-DEVD	H3k27me3-DEVD-Growth	1	IgG-DEVD
H3k27me3-DMSO	H3k27me3-DMSO-24	1	IgG-DMSO
H3k27me3-DMSO	H3k27me3-DMSO-Growth	1	IgG-DMSO
